CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20526,Santos Reyes Nopala,22687,30768,19172,20675,32460,25478,33327,27854,27752,31449,30919,25909,32923,38194
20527,Santos Reyes Pápalo,1256,1277,1089,1236,1659,1771,1603,1775,2591,2616,2978,2559,2426,3265
20528,Santos Reyes Tepejillo,1244,1258,966,1024,1340,1680,886,1783,1087,2531,1739,1646,1407,1497
20529,Santos Reyes Yucuná,511,573,329,225,599,584,121,667,458,875,735,220,565,481
20530,Santo Tomás Jalieza,3878,6568,7722,8771,19856,18189,8686,19434,19296,22127,10811,10191,11113,8800
20531,Santo Tomás Mazaltepec,6528,4632,5183,4935,7731,6895,4169,8517,7588,8570,3653,3744,4525,3815
20532,Santo Tomás Ocotepec,2368,3246,2172,3586,4107,4383,4570,3237,4112,4119,4708,4530,2281,5087
20533,Santo Tomás Tamazulapan,870,829,1524,1037,1085,1460,967,3901,3690,4844,4327,3387,4289,4387
20534,San Vicente Coatlán,7060,3990,4127,3840,4654,6074,450,14844,17367,16605,16574,7171,8247,8180
20535,San Vicente Lachixío,758,1785,154,3847,3054,3890,888,2941,3623,4247,2579,3687,4011,3818
20536,San Vicente Nuñú,353,216,131,170,665,686,469,311,789,751,190,562,757,682
20537,Silacayoápam,4943,4971,1452,1088,10837,11451,11885,14012,11280,16890,13096,10328,9890,10233
20538,Sitio de Xitlapehua,83,819,224,412,3734,3864,1939,4638,4820,5788,4679,2456,3704,24395
20539,Soledad Etla,43958,14857,12278,4513,9875,7531,5611,8595,7127,9014,4793,5711,5881,4671
20540,Villa de Tamazulápam del Progreso,6277,3418,3856,3244,5213,6396,4169,5741,7382,6324,4585,5356,5757,4929
20541,Tanetze de Zaragoza,1388,1936,1870,2009,2466,2782,2647,4178,4630,3552,3263,5034,2523,2495
20542,Taniche,2611,2534,4148,4046,7085,5698,5191,6563,5931,7685,5701,5102,4233,3990
20543,Tataltepec de Valdés,31594,33269,22071,19489,25060,27249,29095,20703,26931,29617,30189,30091,24859,29530
20544,Teococuilco de Marcos Pérez,986,697,728,1037,1079,1258,1183,1156,1236,1444,1258,1079,1391,2104
20545,Teotitlán de Flores Magón,15500,15798,10740,11607,11630,11938,11266,16279,19130,23036,23813,27485,22975,24591
20546,Teotitlán del Valle,4286,1688,3646,2211,2859,3714,2136,5264,4569,5307,5833,4872,5765,4986
20547,Teotongo,5189,2128,2323,1541,2646,2563,1739,2176,2669,3307,1815,2323,2050,2657
20548,Tepelmeme Villa de Morelos,1365,1737,1477,677,2893,4685,1112,3938,4582,4901,682,2812,1472,3570
20549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",21015,19527,13410,30394,36745,41953,22523,50623,34291,54681,45462,39152,38238,35848
20550,San Jerónimo Tlacochahuaya,14231,6196,8104,8127,7381,6990,10280,10091,11037,6681,8282,10677,10703,11571
20551,Tlacolula de Matamoros,101718,7057,20571,19090,15014,22868,10365,29852,24667,36590,36660,30937,38323,34058
20552,Tlacotepec Plumas,440,375,612,217,1060,1375,532,1215,1527,1658,686,1226,1850,1568
20553,Tlalixtac de Cabrera,2194,3818,3946,3823,8128,6475,4050,7977,8803,9338,6916,6262,5101,4712
